Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
SA_WaitingTime_Dominance_PC_120kW,209,0.251863,0.048482,0.262937,0.000000,1,1,0,5152
SA_WaitingTime_Dominance_PC_120kW,MEAN,0.101610,0.119254,0.383094,0.000232,1,2,0,5153
SA_WaitingTime_Dominance_PC_120kW,STDDEV,0.089647,0.056277,0.085542,0.000695,,,,
SA_Energy_Dominance_PC_190kW,200,0.686322,0.095945,0.162451,0.170145,13,14,0,4227
SA_Energy_Dominance_PC_190kW,201,0.636448,0.009550,0.185666,0.319019,7,8,6,4241
SA_Energy_Dominance_PC_190kW,202,0.639263,0.053230,0.172565,0.121705,19,20,0,4084
SA_Energy_Dominance_PC_190kW,203,0.665121,0.061412,0.178733,0.200569,8,8,0,4258
SA_Energy_Dominance_PC_190kW,204,0.647376,0.076374,0.172319,0.182673,11,13,0,4169
SA_Energy_Dominance_PC_190kW,205,0.656239,0.078576,0.181731,0.142039,14,14,0,4133
SA_Energy_Dominance_PC_190kW,206,0.672948,0.060396,0.188625,0.301408,8,9,1,4229
SA_Energy_Dominance_PC_190kW,207,0.666658,0.077468,0.181036,0.161890,10,12,0,4213
SA_Energy_Dominance_PC_190kW,208,0.666645,0.045340,0.181999,0.233690,6,6,1,4356
SA_Energy_Dominance_PC_190kW,209,0.682915,0.107705,0.190914,0.309022,7,8,1,4025
SA_Energy_Dominance_PC_190kW,MEAN,0.661994,0.066600,0.179604,0.214216,10,11,9,4193
SA_Energy_Dominance_PC_190kW,STDDEV,0.016183,0.026189,0.008099,0.068980,,,,
SA_Energy_Dominance_PC_120kW,200,0.606619,0.124842,0.597544,0.250179,6,7,0,4131
SA_Energy_Dominance_PC_120kW,201,0.536573,0.000000,0.648273,0.001136,6,7,6,4228
SA_Energy_Dominance_PC_120kW,202,0.529355,0.014573,0.640160,0.188205,8,9,0,4050
SA_Energy_Dominance_PC_120kW,203,0.574995,0.060608,0.627575,0.254339,5,5,0,4289
SA_Energy_Dominance_PC_120kW,204,0.568170,0.091434,0.567738,0.303548,4,6,0,4187
SA_Energy_Dominance_PC_120kW,205,0.579291,0.064045,0.597652,0.188527,8,8,0,4174
SA_Energy_Dominance_PC_120kW,206,0.606567,0.059578,0.600873,0.207853,7,8,1,4238
SA_Energy_Dominance_PC_120kW,207,0.597143,0.084470,0.595094,0.229257,5,7,0,4182
SA_Energy_Dominance_PC_120kW,208,0.582396,0.032759,0.631479,0.288740,4,4,1,4349
SA_Energy_Dominance_PC_120kW,209,0.615439,0.114966,0.616551,0.195039,6,7,1,4013
SA_Energy_Dominance_PC_120kW,MEAN,0.579655,0.064728,0.612294,0.210682,6,7,9,4184
SA_Energy_Dominance_PC_120kW,STDDEV,0.027541,0.038745,0.023525,0.079804,,,,
WorkloadAware_Admission_PC_190kW,200,0.000000,1.185331,1.266062,0.000000,1,1,0,3
WorkloadAware_Admission_PC_190kW,201,0.000000,1.185331,1.266062,0.000000,1,1,0,3
WorkloadAware_Admission_PC_190kW,202,0.000000,1.185331,1.266062,0.000000,1,1,0,3
WorkloadAware_Admission_PC_190kW,203,0.000000,1.185331,1.266062,0.000000,1,1,0,2
WorkloadAware_Admission_PC_190kW,204,0.000000,1.185331,1.266062,0.000000,1,1,0,3
WorkloadAware_Admission_PC_190kW,205,0.000000,1.185331,1.266062,0.000000,1,1,0,3
WorkloadAware_Admission_PC_190kW,206,0.000000,1.185331,1.266062,0.000000,1,1,0,2
WorkloadAware_Admission_PC_190kW,207,0.000000,1.185331,1.266062,0.000000,1,1,0,3
WorkloadAware_Admission_PC_190kW,208,0.000000,1.185331,1.266062,0.000000,1,1,0,3
WorkloadAware_Admission_PC_190kW,209,0.000000,1.185331,1.266062,0.000000,1,1,0,2
WorkloadAware_Admission_PC_190kW,MEAN,0.000000,1.185331,1.266062,0.000000,1,1,0,2
WorkloadAware_Admission_PC_190kW,STDDEV,0.000000,0.000000,0.000000,0.000000,,,,
WorkloadAware_Admission_PC_120kW,200,0.000000,1.185331,1.266062,0.000000,1,1,0,3
WorkloadAware_Admission_PC_120kW,201,0.000000,1.185331,1.266062,0.000000,1,1,0,3
WorkloadAware_Admission_PC_120kW,202,0.000000,1.185331,1.266062,0.000000,1,1,0,3
WorkloadAware_Admission_PC_120kW,203,0.000000,1.185331,1.266062,0.000000,1,1,0,2
WorkloadAware_Admission_PC_120kW,204,0.000000,1.185331,1.266062,0.000000,1,1,0,3
WorkloadAware_Admission_PC_120kW,205,0.000000,1.185331,1.266062,0.000000,1,1,0,3
WorkloadAware_Admission_PC_120kW,206,0.000000,1.185331,1.266062,0.000000,1,1,0,3
WorkloadAware_Admission_PC_120kW,207,0.000000,1.185331,1.266062,0.000000,1,1,0,2
WorkloadAware_Admission_PC_120kW,208,0.000000,1.185331,1.266062,0.000000,1,1,0,3
WorkloadAware_Admission_PC_120kW,209,0.000000,1.185331,1.266062,0.000000,1,1,0,3
WorkloadAware_Admission_PC_120kW,MEAN,0.000000,1.185331,1.266062,0.000000,1,1,0,2
WorkloadAware_Admission_PC_120kW,STDDEV,0.000000,0.000000,0.000000,0.000000,,,,
Universal_Pareto,ALL,0.784181,0.000000,0.000000,0.000000,102,102,102,0
