Scenario,ScenarioName,Algorithm,Seed,CapWatts,TotalSolutions,FeasibleSolutions,FeasibilityRate,PeakPowerMax
1,Balanced,NSGA-II_PC_120kW,206,190000.0,18,18,1.0000,118715.814
1,Balanced,NSGA-II_PC_120kW,206,120000.0,18,18,1.0000,118715.814
1,Balanced,NSGA-II_PC_120kW,207,220000.0,24,24,1.0000,119009.641
1,Balanced,NSGA-II_PC_120kW,207,190000.0,24,24,1.0000,119009.641
1,Balanced,NSGA-II_PC_120kW,207,120000.0,24,24,1.0000,119009.641
1,Balanced,NSGA-II_PC_120kW,208,220000.0,23,23,1.0000,119759.733
1,Balanced,NSGA-II_PC_120kW,208,190000.0,23,23,1.0000,119759.733
1,Balanced,NSGA-II_PC_120kW,208,120000.0,23,23,1.0000,119759.733
1,Balanced,NSGA-II_PC_120kW,209,220000.0,19,19,1.0000,119719.029
1,Balanced,NSGA-II_PC_120kW,209,190000.0,19,19,1.0000,119719.029
1,Balanced,NSGA-II_PC_120kW,209,120000.0,19,19,1.0000,119719.029
1,Balanced,SPEA-II_PC_190kW,200,220000.0,37,37,1.0000,189838.636
1,Balanced,SPEA-II_PC_190kW,200,190000.0,37,37,1.0000,189838.636
1,Balanced,SPEA-II_PC_190kW,200,120000.0,37,0,0.0000,189838.636
1,Balanced,SPEA-II_PC_190kW,201,220000.0,43,43,1.0000,188848.508
1,Balanced,SPEA-II_PC_190kW,201,190000.0,43,43,1.0000,188848.508
1,Balanced,SPEA-II_PC_190kW,201,120000.0,43,0,0.0000,188848.508
1,Balanced,SPEA-II_PC_190kW,202,220000.0,44,44,1.0000,187602.819
1,Balanced,SPEA-II_PC_190kW,202,190000.0,44,44,1.0000,187602.819
1,Balanced,SPEA-II_PC_190kW,202,120000.0,44,0,0.0000,187602.819
1,Balanced,SPEA-II_PC_190kW,203,220000.0,48,48,1.0000,189659.972
1,Balanced,SPEA-II_PC_190kW,203,190000.0,48,48,1.0000,189659.972
1,Balanced,SPEA-II_PC_190kW,203,120000.0,48,0,0.0000,189659.972
1,Balanced,SPEA-II_PC_190kW,204,220000.0,37,37,1.0000,188271.034
1,Balanced,SPEA-II_PC_190kW,204,190000.0,37,37,1.0000,188271.034
1,Balanced,SPEA-II_PC_190kW,204,120000.0,37,0,0.0000,188271.034
1,Balanced,SPEA-II_PC_190kW,205,220000.0,40,40,1.0000,188489.136
1,Balanced,SPEA-II_PC_190kW,205,190000.0,40,40,1.0000,188489.136
1,Balanced,SPEA-II_PC_190kW,205,120000.0,40,0,0.0000,188489.136
1,Balanced,SPEA-II_PC_190kW,206,220000.0,37,37,1.0000,187832.279
1,Balanced,SPEA-II_PC_190kW,206,190000.0,37,37,1.0000,187832.279
1,Balanced,SPEA-II_PC_190kW,206,120000.0,37,0,0.0000,187832.279
1,Balanced,SPEA-II_PC_190kW,207,220000.0,34,34,1.0000,185985.029
1,Balanced,SPEA-II_PC_190kW,207,190000.0,34,34,1.0000,185985.029
1,Balanced,SPEA-II_PC_190kW,207,120000.0,34,4,0.1176,185985.029
1,Balanced,SPEA-II_PC_190kW,208,220000.0,42,42,1.0000,188916.437
1,Balanced,SPEA-II_PC_190kW,208,190000.0,42,42,1.0000,188916.437
1,Balanced,SPEA-II_PC_190kW,208,120000.0,42,0,0.0000,188916.437
1,Balanced,SPEA-II_PC_190kW,209,220000.0,32,32,1.0000,186099.830
1,Balanced,SPEA-II_PC_190kW,209,190000.0,32,32,1.0000,186099.830
1,Balanced,SPEA-II_PC_190kW,209,120000.0,32,0,0.0000,186099.830
1,Balanced,SPEA-II_PC_120kW,200,220000.0,17,17,1.0000,119383.513
1,Balanced,SPEA-II_PC_120kW,200,190000.0,17,17,1.0000,119383.513
1,Balanced,SPEA-II_PC_120kW,200,120000.0,17,17,1.0000,119383.513
1,Balanced,SPEA-II_PC_120kW,201,220000.0,18,18,1.0000,118769.054
1,Balanced,SPEA-II_PC_120kW,201,190000.0,18,18,1.0000,118769.054
1,Balanced,SPEA-II_PC_120kW,201,120000.0,18,18,1.0000,118769.054
1,Balanced,SPEA-II_PC_120kW,202,220000.0,19,19,1.0000,119766.717
1,Balanced,SPEA-II_PC_120kW,202,190000.0,19,19,1.0000,119766.717
1,Balanced,SPEA-II_PC_120kW,202,120000.0,19,19,1.0000,119766.717
1,Balanced,SPEA-II_PC_120kW,203,220000.0,20,20,1.0000,119527.263
1,Balanced,SPEA-II_PC_120kW,203,190000.0,20,20,1.0000,119527.263
1,Balanced,SPEA-II_PC_120kW,203,120000.0,20,20,1.0000,119527.263
1,Balanced,SPEA-II_PC_120kW,204,220000.0,16,16,1.0000,119654.590
1,Balanced,SPEA-II_PC_120kW,204,190000.0,16,16,1.0000,119654.590
1,Balanced,SPEA-II_PC_120kW,204,120000.0,16,16,1.0000,119654.590
1,Balanced,SPEA-II_PC_120kW,205,220000.0,19,19,1.0000,119820.437
1,Balanced,SPEA-II_PC_120kW,205,190000.0,19,19,1.0000,119820.437
1,Balanced,SPEA-II_PC_120kW,205,120000.0,19,19,1.0000,119820.437
1,Balanced,SPEA-II_PC_120kW,206,220000.0,16,16,1.0000,119658.574
1,Balanced,SPEA-II_PC_120kW,206,190000.0,16,16,1.0000,119658.574
1,Balanced,SPEA-II_PC_120kW,206,120000.0,16,16,1.0000,119658.574
1,Balanced,SPEA-II_PC_120kW,207,220000.0,16,16,1.0000,119581.212
1,Balanced,SPEA-II_PC_120kW,207,190000.0,16,16,1.0000,119581.212
1,Balanced,SPEA-II_PC_120kW,207,120000.0,16,16,1.0000,119581.212
1,Balanced,SPEA-II_PC_120kW,208,220000.0,26,26,1.0000,119809.386
1,Balanced,SPEA-II_PC_120kW,208,190000.0,26,26,1.0000,119809.386
1,Balanced,SPEA-II_PC_120kW,208,120000.0,26,26,1.0000,119809.386
1,Balanced,SPEA-II_PC_120kW,209,220000.0,19,19,1.0000,119547.901
1,Balanced,SPEA-II_PC_120kW,209,190000.0,19,19,1.0000,119547.901
1,Balanced,SPEA-II_PC_120kW,209,120000.0,19,19,1.0000,119547.901
1,Balanced,AMOSA_PC_190kW,200,220000.0,31,31,1.0000,189963.197
1,Balanced,AMOSA_PC_190kW,200,190000.0,31,31,1.0000,189963.197
1,Balanced,AMOSA_PC_190kW,200,120000.0,31,0,0.0000,189963.197
1,Balanced,AMOSA_PC_190kW,201,220000.0,36,36,1.0000,189520.962
1,Balanced,AMOSA_PC_190kW,201,190000.0,36,36,1.0000,189520.962
1,Balanced,AMOSA_PC_190kW,201,120000.0,36,0,0.0000,189520.962
1,Balanced,AMOSA_PC_190kW,202,220000.0,27,27,1.0000,189954.794
1,Balanced,AMOSA_PC_190kW,202,190000.0,27,27,1.0000,189954.794
1,Balanced,AMOSA_PC_190kW,202,120000.0,27,0,0.0000,189954.794
1,Balanced,AMOSA_PC_190kW,203,220000.0,26,26,1.0000,188737.314
1,Balanced,AMOSA_PC_190kW,203,190000.0,26,26,1.0000,188737.314
