CapTier,CapWatts,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
PC80,13435.070,SA_WaitingTime_Dominance,203,0.084684,0.028968,0.566610,0.010779,10,10,0,13296,0.228676,
PC80,13435.070,SA_WaitingTime_Dominance,204,0.091073,0.022858,0.544673,0.004167,11,11,0,13075,0.264872,
PC80,13435.070,SA_WaitingTime_Dominance,205,0.106130,0.010707,0.559153,0.003402,13,13,0,13393,0.262479,
PC80,13435.070,SA_WaitingTime_Dominance,206,0.062494,0.115117,0.512010,0.014321,17,17,0,13867,0.233663,
PC80,13435.070,SA_WaitingTime_Dominance,207,0.078118,0.080285,0.502505,0.018377,15,15,4,14391,0.260473,
PC80,13435.070,SA_WaitingTime_Dominance,208,0.051417,0.012311,0.596781,0.002093,14,14,0,13824,0.232766,
PC80,13435.070,SA_WaitingTime_Dominance,209,0.111285,0.000000,0.551091,0.001822,16,16,16,13462,0.281578,
PC80,13435.070,SA_WaitingTime_Dominance,MEAN,0.095262,0.047947,0.526401,0.013720,15,15,20,13520,0.259330,10
PC80,13435.070,SA_WaitingTime_Dominance,STDDEV,0.030259,0.040769,0.042683,0.019562,,,,,0.024998,
PC80,13435.070,SA_Energy_Dominance,200,0.297963,0.315824,0.311918,0.011416,43,44,0,12508,0.588456,
PC80,13435.070,SA_Energy_Dominance,201,0.238261,0.367137,0.320192,0.008603,51,51,2,13103,0.579547,
PC80,13435.070,SA_Energy_Dominance,202,0.320931,0.343054,0.314062,0.007461,49,49,0,12497,0.593000,
PC80,13435.070,SA_Energy_Dominance,203,0.308819,0.322564,0.316624,0.029266,26,26,0,12335,0.583720,
PC80,13435.070,SA_Energy_Dominance,204,0.341799,0.334287,0.292121,0.006996,35,35,0,12628,0.612264,
PC80,13435.070,SA_Energy_Dominance,205,0.272310,0.369121,0.329554,0.007529,35,35,0,12447,0.569369,
PC80,13435.070,SA_Energy_Dominance,206,0.286274,0.379706,0.331159,0.005170,47,47,0,12293,0.555357,
PC80,13435.070,SA_Energy_Dominance,207,0.209161,0.374957,0.373851,0.007881,53,54,0,12636,0.539688,
PC80,13435.070,SA_Energy_Dominance,208,0.305608,0.326954,0.309920,0.009841,46,46,0,12172,0.593869,
PC80,13435.070,SA_Energy_Dominance,209,0.353962,0.334163,0.301930,0.016584,55,57,3,12311,0.600684,
PC80,13435.070,SA_Energy_Dominance,MEAN,0.293509,0.346777,0.320133,0.011075,44,44,5,12493,0.581595,10
