Algorithm,Seed,SeedUniversalFrontSize,SeedUniversalHV_fixed,ContributionCount,ContributionPct
SPEA-II_PC80,209,113,0.824576,0,0.000000
SPEA-II_PC80,MEAN,,,0.600000,0.521739
SPEA-II_PC80,STDDEV,,,1.800000,1.565217
AMOSA_PC80,200,120,0.811514,0,0.000000
AMOSA_PC80,201,98,0.833242,0,0.000000
AMOSA_PC80,202,132,0.847837,0,0.000000
AMOSA_PC80,203,101,0.824075,0,0.000000
AMOSA_PC80,204,113,0.843640,0,0.000000
AMOSA_PC80,205,95,0.787543,0,0.000000
AMOSA_PC80,206,130,0.842510,0,0.000000
AMOSA_PC80,207,120,0.804333,0,0.000000
AMOSA_PC80,208,115,0.798808,0,0.000000
AMOSA_PC80,209,113,0.824576,0,0.000000
AMOSA_PC80,MEAN,,,0.000000,0.000000
AMOSA_PC80,STDDEV,,,0.000000,0.000000
GA_WaitingTime_Dominance_PC70,200,120,0.811514,0,0.000000
GA_WaitingTime_Dominance_PC70,201,98,0.833242,0,0.000000
GA_WaitingTime_Dominance_PC70,202,132,0.847837,0,0.000000
GA_WaitingTime_Dominance_PC70,203,101,0.824075,0,0.000000
GA_WaitingTime_Dominance_PC70,204,113,0.843640,0,0.000000
GA_WaitingTime_Dominance_PC70,205,95,0.787543,0,0.000000
GA_WaitingTime_Dominance_PC70,206,130,0.842510,0,0.000000
GA_WaitingTime_Dominance_PC70,207,120,0.804333,0,0.000000
GA_WaitingTime_Dominance_PC70,208,115,0.798808,0,0.000000
GA_WaitingTime_Dominance_PC70,209,113,0.824576,0,0.000000
GA_WaitingTime_Dominance_PC70,MEAN,,,0.000000,0.000000
GA_WaitingTime_Dominance_PC70,STDDEV,,,0.000000,0.000000
GA_Energy_Dominance_PC70,200,120,0.811514,0,0.000000
GA_Energy_Dominance_PC70,201,98,0.833242,0,0.000000
GA_Energy_Dominance_PC70,202,132,0.847837,0,0.000000
GA_Energy_Dominance_PC70,203,101,0.824075,0,0.000000
GA_Energy_Dominance_PC70,204,113,0.843640,7,6.194690
GA_Energy_Dominance_PC70,205,95,0.787543,0,0.000000
GA_Energy_Dominance_PC70,206,130,0.842510,0,0.000000
GA_Energy_Dominance_PC70,207,120,0.804333,0,0.000000
GA_Energy_Dominance_PC70,208,115,0.798808,2,1.739130
GA_Energy_Dominance_PC70,209,113,0.824576,7,6.194690
GA_Energy_Dominance_PC70,MEAN,,,1.600000,1.412851
GA_Energy_Dominance_PC70,STDDEV,,,2.764055,2.445638
SA_WaitingTime_Dominance_PC70,200,120,0.811514,0,0.000000
SA_WaitingTime_Dominance_PC70,201,98,0.833242,0,0.000000
SA_WaitingTime_Dominance_PC70,202,132,0.847837,0,0.000000
SA_WaitingTime_Dominance_PC70,203,101,0.824075,0,0.000000
SA_WaitingTime_Dominance_PC70,204,113,0.843640,0,0.000000
SA_WaitingTime_Dominance_PC70,205,95,0.787543,0,0.000000
SA_WaitingTime_Dominance_PC70,206,130,0.842510,0,0.000000
SA_WaitingTime_Dominance_PC70,207,120,0.804333,0,0.000000
SA_WaitingTime_Dominance_PC70,208,115,0.798808,0,0.000000
SA_WaitingTime_Dominance_PC70,209,113,0.824576,0,0.000000
SA_WaitingTime_Dominance_PC70,MEAN,,,0.000000,0.000000
SA_WaitingTime_Dominance_PC70,STDDEV,,,0.000000,0.000000
SA_Energy_Dominance_PC70,200,120,0.811514,0,0.000000
SA_Energy_Dominance_PC70,201,98,0.833242,0,0.000000
SA_Energy_Dominance_PC70,202,132,0.847837,0,0.000000
SA_Energy_Dominance_PC70,203,101,0.824075,0,0.000000
SA_Energy_Dominance_PC70,204,113,0.843640,0,0.000000
SA_Energy_Dominance_PC70,205,95,0.787543,5,5.263158
SA_Energy_Dominance_PC70,206,130,0.842510,0,0.000000
SA_Energy_Dominance_PC70,207,120,0.804333,0,0.000000
SA_Energy_Dominance_PC70,208,115,0.798808,3,2.608696
SA_Energy_Dominance_PC70,209,113,0.824576,0,0.000000
SA_Energy_Dominance_PC70,MEAN,,,0.800000,0.787185
SA_Energy_Dominance_PC70,STDDEV,,,1.661325,1.682543
NSGA-II_PC70,200,120,0.811514,0,0.000000
NSGA-II_PC70,201,98,0.833242,0,0.000000
NSGA-II_PC70,202,132,0.847837,0,0.000000
NSGA-II_PC70,203,101,0.824075,0,0.000000
NSGA-II_PC70,204,113,0.843640,0,0.000000
NSGA-II_PC70,205,95,0.787543,0,0.000000
NSGA-II_PC70,206,130,0.842510,0,0.000000
NSGA-II_PC70,207,120,0.804333,0,0.000000
NSGA-II_PC70,208,115,0.798808,0,0.000000
NSGA-II_PC70,209,113,0.824576,0,0.000000
NSGA-II_PC70,MEAN,,,0.000000,0.000000
NSGA-II_PC70,STDDEV,,,0.000000,0.000000
SPEA-II_PC70,200,120,0.811514,0,0.000000
SPEA-II_PC70,201,98,0.833242,0,0.000000
SPEA-II_PC70,202,132,0.847837,0,0.000000
SPEA-II_PC70,203,101,0.824075,0,0.000000
SPEA-II_PC70,204,113,0.843640,0,0.000000
SPEA-II_PC70,205,95,0.787543,0,0.000000
SPEA-II_PC70,206,130,0.842510,0,0.000000
