CapTier,CapWatts,WaitingTime,Energy
PC80,14066.065,1.730000,0.044642094
PC80,14066.065,1.796000,0.044457158
PC80,14066.065,2.132000,0.041853390
PC80,14066.065,2.136000,0.041805639
PC80,14066.065,2.150000,0.041737038
PC80,14066.065,2.154000,0.041695555
PC80,14066.065,2.160000,0.041594348
PC80,14066.065,2.176000,0.041464344
PC80,14066.065,2.180000,0.041390103
PC80,14066.065,2.186000,0.041389230
PC80,14066.065,2.200000,0.041251194
PC80,14066.065,2.230000,0.040955764
PC80,14066.065,2.242000,0.040934139
PC80,14066.065,2.252000,0.040486541
PC80,14066.065,2.270000,0.040481562
PC80,14066.065,2.304000,0.040200227
PC80,14066.065,2.318000,0.040078243
PC80,14066.065,2.324000,0.039979149
PC80,14066.065,2.348000,0.039939151
PC80,14066.065,2.350000,0.039902529
PC80,14066.065,2.370000,0.039624345
PC80,14066.065,2.390000,0.039215704
PC80,14066.065,2.442000,0.039181479
PC80,14066.065,2.462000,0.039097268
PC80,14066.065,2.492000,0.039021095
PC80,14066.065,2.538000,0.038932355
PC80,14066.065,2.574000,0.038883594
PC80,14066.065,2.588000,0.038749579
PC80,14066.065,2.590000,0.038741580
PC80,14066.065,2.596000,0.038704027
PC80,14066.065,2.618000,0.038622121
PC80,14066.065,2.656000,0.038573063
PC80,14066.065,2.688000,0.038554417
PC80,14066.065,2.712000,0.038502290
PC80,14066.065,2.716000,0.038497108
PC80,14066.065,2.740000,0.038395980
PC80,14066.065,2.768000,0.038382920
PC80,14066.065,2.794000,0.038373687
PC80,14066.065,2.802000,0.038303477
PC80,14066.065,2.842000,0.038278070
PC80,14066.065,2.900000,0.038263318
PC80,14066.065,2.906000,0.038251252
PC80,14066.065,2.910000,0.038183887
PC80,14066.065,2.930000,0.038047931
PC80,14066.065,2.990000,0.038032124
PC80,14066.065,3.026000,0.038027858
PC80,14066.065,3.034000,0.037998755
PC80,14066.065,3.048000,0.037954840
PC80,14066.065,3.054000,0.037944024
PC80,14066.065,3.070000,0.037931082
PC80,14066.065,3.092000,0.037808279
PC80,14066.065,3.194000,0.037802536
PC80,14066.065,3.218000,0.037765350
PC80,14066.065,3.238000,0.037756239
PC80,14066.065,3.256000,0.037688959
PC80,14066.065,3.268000,0.037638061
PC80,14066.065,3.332000,0.037598914
PC80,14066.065,3.364000,0.037575175
PC80,14066.065,3.370000,0.037565203
PC80,14066.065,3.392000,0.037555664
PC80,14066.065,3.396000,0.037457322
PC80,14066.065,3.414000,0.037399094
PC80,14066.065,3.452000,0.037368847
PC80,14066.065,3.468000,0.037362258
PC80,14066.065,3.510000,0.037342995
PC80,14066.065,3.546000,0.037304834
PC80,14066.065,3.624000,0.037291040
PC80,14066.065,3.626000,0.037270487
PC80,14066.065,3.640000,0.037236542
PC80,14066.065,3.642000,0.037187666
PC80,14066.065,3.728000,0.037155589
PC80,14066.065,3.798000,0.037155507
PC80,14066.065,3.802000,0.037153729
PC80,14066.065,3.812000,0.037139204
PC80,14066.065,3.840000,0.037122353
PC80,14066.065,3.876000,0.037077650
PC80,14066.065,3.914000,0.037033960
PC80,14066.065,3.958000,0.037010272
PC80,14066.065,3.980000,0.036973736
PC80,14066.065,4.082000,0.036957918
PC80,14066.065,4.110000,0.036931976
PC80,14066.065,4.148000,0.036922937
PC80,14066.065,4.160000,0.036856942
PC80,14066.065,4.214000,0.036758855
PC80,14066.065,4.370000,0.036681989
PC80,14066.065,4.672000,0.036617830
PC80,14066.065,4.844000,0.036598819
PC80,14066.065,4.916000,0.036589761
PC80,14066.065,4.982000,0.036535029
PC80,14066.065,5.378000,0.036523487
PC80,14066.065,5.420000,0.036522294
PC80,14066.065,5.458000,0.036471300
PC80,14066.065,5.544000,0.036435040
PC80,14066.065,5.656000,0.036413987
PC80,14066.065,5.808000,0.036351107
PC80,14066.065,5.844000,0.036348405
PC80,14066.065,6.926000,0.036334026
PC80,14066.065,8.432000,0.036325003
PC80,14066.065,8.508000,0.036204947
PC80,14066.065,8.566000,0.036139061
PC80,14066.065,8.668000,0.036099865
PC80,14066.065,8.672000,0.036041234
PC80,14066.065,8.900000,0.036031527
PC80,14066.065,8.996000,0.036025783
PC80,14066.065,9.064000,0.035901174
PC80,14066.065,9.124000,0.035787534
PC80,14066.065,9.254000,0.035574752
PC80,14066.065,9.418000,0.035499494
PC80,14066.065,9.520000,0.035448526
PC80,14066.065,9.604000,0.035443761
PC80,14066.065,9.780000,0.035297533
PC80,14066.065,9.932000,0.035251992
PC80,14066.065,10.042000,0.035167423
PC80,14066.065,10.148000,0.034942377
PC80,14066.065,10.358000,0.034932254
PC80,14066.065,10.524000,0.034919210
PC80,14066.065,10.702000,0.034881871
PC80,14066.065,10.736000,0.034807772
PC80,14066.065,10.858000,0.034776908
PC80,14066.065,10.950000,0.034766014
PC80,14066.065,10.970000,0.034756072
PC80,14066.065,11.054000,0.034682051
PC80,14066.065,11.160000,0.034514182
PC80,14066.065,11.330000,0.034508143
PC80,14066.065,11.408000,0.034400279
PC80,14066.065,11.750000,0.034347585
PC80,14066.065,11.912000,0.034232490
PC80,14066.065,12.028000,0.034214340
PC80,14066.065,12.030000,0.034201493
PC80,14066.065,12.130000,0.034181645
PC80,14066.065,12.262000,0.034145811
PC80,14066.065,12.366000,0.034119966
PC80,14066.065,12.468000,0.034010220
PC80,14066.065,12.582000,0.033927642
PC80,14066.065,12.734000,0.033881794
PC80,14066.065,12.866000,0.033831759
PC80,14066.065,12.986000,0.033819363
PC80,14066.065,13.068000,0.033787734
PC80,14066.065,13.186000,0.033778349
PC80,14066.065,13.202000,0.033761183
PC80,14066.065,13.254000,0.033715071
PC80,14066.065,13.374000,0.033484538
PC80,14066.065,13.694000,0.033430655
PC80,14066.065,13.842000,0.033359583
PC80,14066.065,14.118000,0.033268243
PC80,14066.065,14.344000,0.033253615
PC80,14066.065,14.574000,0.033181048
PC80,14066.065,14.604000,0.033117145
PC80,14066.065,14.846000,0.033060636
PC80,14066.065,14.870000,0.032892521
PC80,14066.065,15.046000,0.032885581
PC80,14066.065,15.228000,0.032855664
PC80,14066.065,15.402000,0.032832047
PC80,14066.065,15.604000,0.032816096
PC80,14066.065,15.738000,0.032811806
PC80,14066.065,16.048000,0.032809470
PC80,14066.065,16.190000,0.032712243
PC80,14066.065,16.302000,0.032685227
PC80,14066.065,16.458000,0.032649092
PC80,14066.065,16.728000,0.032624626
