Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
SA_WaitingTime_Dominance_PC85,201,0.093443,0.084936,0.469232,0.001995,15,15,0,6857,0.292559,
SA_WaitingTime_Dominance_PC85,202,0.073766,0.077199,0.482127,0.005817,11,11,0,7143,0.277553,
SA_WaitingTime_Dominance_PC85,203,0.100988,0.105082,0.462325,0.002394,16,16,0,6829,0.293828,
SA_WaitingTime_Dominance_PC85,204,0.097382,0.087848,0.463707,0.006514,13,13,0,6755,0.295330,
SA_WaitingTime_Dominance_PC85,205,0.138365,0.107244,0.455913,0.003605,20,20,0,6167,0.275241,
SA_WaitingTime_Dominance_PC85,206,0.142098,0.116526,0.423388,0.006376,19,19,0,4956,0.328402,
SA_WaitingTime_Dominance_PC85,207,0.165756,0.048533,0.410103,0.007834,10,10,4,6764,0.349229,
SA_WaitingTime_Dominance_PC85,208,0.071769,0.011368,0.508548,0.002031,22,22,0,6860,0.265041,
SA_WaitingTime_Dominance_PC85,209,0.057969,0.117683,0.498169,0.007863,11,11,0,6757,0.264233,
SA_WaitingTime_Dominance_PC85,MEAN,0.110585,0.081900,0.459287,0.005037,16,16,4,6590,0.297390,10
SA_WaitingTime_Dominance_PC85,STDDEV,0.037264,0.031917,0.031466,0.002203,,,,,0.028197,
SA_Energy_Dominance_PC85,200,0.508473,0.222663,0.208765,0.005576,44,44,0,6365,0.605764,
SA_Energy_Dominance_PC85,201,0.530307,0.182082,0.198985,0.006703,33,33,0,6373,0.619380,
SA_Energy_Dominance_PC85,202,0.537150,0.178498,0.199584,0.004527,46,47,2,6362,0.622221,
SA_Energy_Dominance_PC85,203,0.499288,0.195728,0.210417,0.003919,27,27,0,6494,0.597817,
SA_Energy_Dominance_PC85,204,0.551704,0.177691,0.193163,0.003513,59,59,0,6543,0.636668,
SA_Energy_Dominance_PC85,205,0.520601,0.230029,0.200049,0.004658,52,52,0,6242,0.612431,
SA_Energy_Dominance_PC85,206,0.515494,0.193271,0.208288,0.004795,28,29,0,6268,0.610174,
SA_Energy_Dominance_PC85,207,0.488824,0.242885,0.207992,0.020341,38,38,0,6343,0.589260,
SA_Energy_Dominance_PC85,208,0.530879,0.226350,0.201709,0.004329,48,48,0,6235,0.624162,
SA_Energy_Dominance_PC85,209,0.516454,0.218812,0.205373,0.004332,67,68,0,6327,0.614196,
SA_Energy_Dominance_PC85,MEAN,0.519917,0.206801,0.203432,0.006269,44,45,2,6355,0.613207,10
SA_Energy_Dominance_PC85,STDDEV,0.017581,0.022770,0.005290,0.004766,,,,,0.012909,
NSGA-II_PC85,200,0.440973,0.035394,0.237987,0.005055,34,34,0,11795,0.552797,
NSGA-II_PC85,201,0.414050,0.036373,0.272659,0.002699,32,32,0,11785,0.531109,
NSGA-II_PC85,202,0.419184,0.044462,0.247276,0.004438,38,38,0,11959,0.535021,
NSGA-II_PC85,203,0.429548,0.020976,0.270375,0.001345,37,37,0,10404,0.544370,
NSGA-II_PC85,204,0.423474,0.038217,0.255854,0.002784,35,35,0,10394,0.538693,
NSGA-II_PC85,205,0.423426,0.034640,0.258915,0.003144,33,33,0,11814,0.539199,
NSGA-II_PC85,206,0.449253,0.043926,0.231407,0.005052,31,31,0,12993,0.558729,
NSGA-II_PC85,207,0.489210,0.070856,0.200972,0.002981,48,48,0,12755,0.588234,
NSGA-II_PC85,208,0.459221,0.043616,0.226091,0.004088,39,39,0,11810,0.565975,
NSGA-II_PC85,209,0.448283,0.048350,0.233690,0.003249,33,33,0,11979,0.557134,
NSGA-II_PC85,MEAN,0.439662,0.041681,0.243523,0.003483,36,36,0,11768,0.551126,10
NSGA-II_PC85,STDDEV,0.021700,0.012125,0.020884,0.001109,,,,,0.016422,
SPEA-II_PC85,200,0.371970,0.037612,0.286404,0.002042,40,40,0,12734,0.500174,
SPEA-II_PC85,201,0.422817,0.053362,0.256061,0.002276,40,40,0,11249,0.538237,
SPEA-II_PC85,202,0.462373,0.031496,0.249028,0.003073,37,37,0,9243,0.568708,
SPEA-II_PC85,203,0.453662,0.048729,0.237713,0.002683,43,43,0,9667,0.564138,
SPEA-II_PC85,204,0.485928,0.058587,0.215554,0.002907,49,49,0,9467,0.587098,
SPEA-II_PC85,205,0.451972,0.050077,0.239227,0.003517,37,37,0,11977,0.560234,
SPEA-II_PC85,206,0.383247,0.034323,0.282503,0.001742,33,33,0,12393,0.508866,
