Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed
SPEA-II_PC60,209,0.451159,0.034475,0.269462,0.001390,45,45,0,13459,0.579112
SPEA-II_PC60,MEAN,0.468409,0.030498,0.254135,0.003647,38,38,22,13253,0.591885
SPEA-II_PC60,STDDEV,0.059041,0.011770,0.039163,0.001753,,,,,0.043932
AMOSA_PC60,200,0.254835,0.053174,0.386885,0.003292,16,16,0,13692,0.427092
AMOSA_PC60,201,0.271733,0.064478,0.364246,0.013347,14,14,0,13457,0.439805
AMOSA_PC60,202,0.252427,0.065430,0.377514,0.005049,13,13,0,13527,0.425710
AMOSA_PC60,203,0.244295,0.060520,0.397148,0.001818,15,15,0,13635,0.419571
AMOSA_PC60,204,0.260004,0.059040,0.371695,0.019908,12,12,0,14105,0.431001
AMOSA_PC60,205,0.249411,0.052830,0.393107,0.007094,12,12,0,13984,0.422828
AMOSA_PC60,206,0.317224,0.083758,0.326558,0.012209,26,26,0,13437,0.474720
AMOSA_PC60,207,0.260021,0.062827,0.378216,0.002341,9,9,0,12430,0.431094
AMOSA_PC60,208,0.254093,0.088207,0.375073,0.011290,14,14,0,13967,0.426441
AMOSA_PC60,209,0.270562,0.061024,0.372334,0.003404,20,20,0,13952,0.438609
AMOSA_PC60,MEAN,0.263461,0.065129,0.374277,0.007975,15,15,0,13618,0.433687
AMOSA_PC60,STDDEV,0.019702,0.011202,0.018578,0.005674,,,,,0.014954
GA_WaitingTime_Dominance_PC30,200,0.041727,0.413854,0.614258,0.036773,3,3,0,9432,0.187910
GA_WaitingTime_Dominance_PC30,201,0.037498,0.332594,0.600913,0.000000,1,1,0,9434,0.205964
GA_WaitingTime_Dominance_PC30,202,0.193024,0.085874,0.437112,0.000000,1,1,0,9167,0.375875
GA_WaitingTime_Dominance_PC30,203,0.057506,0.468815,0.616826,0.124811,4,4,0,8112,0.192212
GA_WaitingTime_Dominance_PC30,204,0.072098,0.315043,0.577156,0.000000,2,2,0,6840,0.208035
GA_WaitingTime_Dominance_PC30,205,0.214272,0.072017,0.421307,0.000000,1,1,0,8651,0.392372
GA_WaitingTime_Dominance_PC30,206,0.131840,0.342280,0.532122,0.020041,3,3,0,9164,0.217189
GA_WaitingTime_Dominance_PC30,207,0.040996,0.381357,0.604781,0.068509,3,3,0,9223,0.193161
GA_WaitingTime_Dominance_PC30,208,0.113263,0.437973,0.569556,0.052248,6,6,0,9319,0.176090
GA_WaitingTime_Dominance_PC30,209,0.096851,0.396974,0.587198,0.035922,5,5,0,9331,0.178322
GA_WaitingTime_Dominance_PC30,MEAN,0.099908,0.324678,0.556123,0.033830,3,3,0,8867,0.232713
GA_WaitingTime_Dominance_PC30,STDDEV,0.060232,0.130894,0.067780,0.038210,,,,,0.076765
GA_Energy_Dominance_PC30,200,0.580510,0.117986,0.174564,0.014059,49,49,2,9912,0.674116
GA_Energy_Dominance_PC30,201,0.542805,0.159384,0.192530,0.009350,58,58,0,10108,0.648668
GA_Energy_Dominance_PC30,202,0.587058,0.135639,0.174532,0.018662,49,49,11,9791,0.681302
GA_Energy_Dominance_PC30,203,0.479656,0.196875,0.222425,0.024289,45,45,0,9797,0.606572
GA_Energy_Dominance_PC30,204,0.561836,0.168210,0.193343,0.011665,52,53,0,9793,0.660717
GA_Energy_Dominance_PC30,205,0.508098,0.112205,0.225226,0.004282,62,62,0,9255,0.608291
GA_Energy_Dominance_PC30,206,0.544744,0.141820,0.188911,0.006558,80,80,9,10100,0.657077
GA_Energy_Dominance_PC30,207,0.597611,0.123559,0.170921,0.008716,63,63,5,9791,0.686279
GA_Energy_Dominance_PC30,208,0.558242,0.121826,0.192627,0.005648,47,47,0,9660,0.653359
GA_Energy_Dominance_PC30,209,0.550807,0.125640,0.203434,0.023067,35,35,0,10008,0.644405
